Ceiling No.,Ceiling Type,Uvalue
1c,Ceiling Under Attic Space R11,
2c,Ceiling Under Attic Space R13,
3c,Ceiling Under Attic Space R19,
4c,Ceiling Under Attic Space R25,
5c,Ceiling Under Attic Space R30,
6c,Ceiling Under Attic Space R38,
7c,Ceiling Under Attic Space R44,
8c,Ceiling Under Attic Space R50,
9c,Ceiling Under Attic Space R56,
10c,Ceiling  Under Roof Joists R11,
11c,Ceiling  Under Roof Joists R13,
12c,Ceiling  Under Roof Joists R19,
13c,Ceiling  Under Roof Joists R21,
14c,Ceiling  Under Roof Joists R30,
15c,Ceiling  Under Roof Joists R38,
